title,label
광명도시공사 인권영향평가 지표개선…정보개방↑,1
"양주시의회 ""의정부 자원회수시설 이전 철회하라""",1
3년 만에 정상 개최된 자라섬 재즈 페스티벌,1
자라섬 재즈 페스티벌 개막 알리는 가평군수,1
"홍준표 대구시장 ""朴 탄핵 전야같이 내부 흔드는 세력 있다는 느낌""",1
"대구 동구 섬유공장서 불, 2시간 30분만에 진화…잔불 정리중",1
집중 안 한다며 9살 원생 학대한 학원 강사 집행유예,1
조선소서 10t 타워크레인 넘어져…인명피해 없어,1
"울산 남구, ‘삼호곱창 특화거리’ 조성 사업 마무리",1
김종훈 청장 1호 결재사업 ‘노동복지기금 조례안’ 부결,1
울산전국체전 자원봉사자 발대식 열려,1
"울산전국체전, 사전경기부터 경쟁 ‘후끈’",1
"홍준표, 유승민 겨냥 ""개혁보수 타령 지겨워…尹 흔들어 무엇 노리나""",1
원주 행구동 주택서 화재…70대 남성 숨져,1
진주원예농협·창선농협 ‘도농상생 한마음기금 전달식’,1
남양주시 화도IC 진입로 개통…교차로 교통정체↓,1
'제2의 크래프톤'이 된 쏘카…우리사주 1인당 865만원 손실,1
"기름값 1,600원대 하락에도…25년 만에 '반 년 연속' 무역적자",1
권도형의 비트코인…암호화폐는 꼬리가 있다 [김형중 분산금융 톺아보기],1
"강원도 ""레고랜드 2000억 빚 보증 못해""…채권시장 긴장감 커진다",1
9월 무역적자 37.7억달러…6개월 연속 적자,1
"한미 재무장관 ""필요시 유동성 공급""…IRA 우려도 전달",1
"태국 중앙은행, 통화가치 방어 목적 시장 개입 시인",1
넉달전 17조원이던 삼성전자 3분기 영업익 전망치…지금은 12조도 어렵다,1
"추경호, 금융외환시장 회의서 '단계별 안정조치' 점검",1
'성장주'로 뜬 카카오뱅크의 끝없는 추락,1
손정의 방한…이재용 만나 'ARM 빅딜' 논의할 듯,1
1035회 로또 1등 8명 32억원씩…7곳 자동선택(종합),1
손정의 방한…이재용 만나 'ARM 빅 딜' 논의 나설 듯,1
"윤형중 한국공항공사 사장, 싱하이밍 中대사 면담",1
국제 유가 하락세…이번주 휘발유 26.7원·경유 18.6원↓,1
"1035회 로또 1등 '9, 14, 34, 35, 41, 42'…보너스 '2'",1
손정의 방한…이재용 만나 ARM 인수 논의 전망,1
"""비즈니스하러"" 손정의, 이재용과 '세기의 빅딜' 성사되나 [황정수의 반도체 이슈 짚어보기]",1
한국 찾은 손정의…이재용 만나 삼성 'ARM 인수' 논의 전망,1
"""미식가 애간장 녹인다""…㎏당 142만원 '숲속 보물' 이 버섯 뭐길래",1
“삼성과 ARM 협력 논의” 손정의 소프트뱅크 회장 한국 찾았다,1
한국 찾은 손정의…이재용 만나 ARM 매각 논의할 듯,1
한국 찾은 손정의…이재용 만나 삼성의 ARM 인수 논의할 듯,1
손정의 방한…이재용 만나 삼성 ARM 인수 논의할 듯,1
부담 큰 RE100…대안은 원전 포함한 CF100? [RE100 초읽기④],1
손정의 방한…삼성 이재용과 ARM 매각 논의한다,1
손정의 회장 방한…삼성전자·ARM '전략적 제휴' 급물살 타나,1
"'세기의 딜' 성사되나…손정의 회장 방한, 삼성전자와 ARM '담판' 주목",1
"손정의 방한…이재용 부회장, ARM 인수 '담판' 주목",1
"김영록 전남지사 ""쌀수급 안정화, 정부 추진 의지가 중요""",1
"가구, 식품, 차 할 것 없이 ‘인플레 홍수’…가격인상은 왜 ‘기습전략’이 대세일까",1
"밀리의 서재, 11월 코스닥 진출한다",1
"독한 에듀윌 면접 학원, 2차 경찰 면접대비 '엠폴리스 면접캠프' 진행",1
"전남도 시장개척단, 베트남·말레이시아 시장 진출 '물꼬'",1
[한주간 중기 이슈]마지막 손실보상…65만곳 8900억 지급,1
"MBN '그리스 로마 신화-신들의 사생활' 웨이브, 티빙, 왓챠에서도 방송",1
"더콘테스트, 맞춤형 헬스케어 솔루션 '젠픽' 론칭",1
